Surface tension (kg/s^2),Final fiber radius (m)
0.02,1.913987284641606e-06
0.022105263157894735,1.9624810494664924e-06
0.024210526315789474,2.0076250551203587e-06
0.02631578947368421,2.049914041081024e-06
0.028421052631578944,2.089736792358013e-06
0.030526315789473683,2.1274048622534236e-06
0.032631578947368414,2.1631720930156936e-06
0.034736842105263156,2.1972482790664517e-06
0.03684210526315789,2.2298089747292915e-06
0.038947368421052626,2.2610026900023046e-06
0.04105263157894737,2.290956271951853e-06
0.0431578947368421,2.319778997750001e-06
0.04526315789473684,2.347565734904638e-06
0.047368421052631574,2.3743994142968455e-06
0.04947368421052631,2.4003529890306655e-06
0.051578947368421044,2.4254910031062963e-06
0.05368421052631578,2.449870860225145e-06
0.055789473684210514,2.4735438594434337e-06
0.05789473684210525,2.4965560476126867e-06
0.06,2.5189489264383234e-06
