Collector distance (m),Final fiber radius (m)
0.1,1.3954644432868995e-05
0.12105263157894737,1.0477494039894182e-05
0.14210526315789473,8.237653688697279e-06
0.1631578947368421,6.695864179363119e-06
0.1842105263157895,5.581450917374387e-06
0.20526315789473684,4.745175352846473e-06
0.22631578947368422,4.098703410369915e-06
0.24736842105263157,3.5867605927684206e-06
0.26842105263157895,3.173174183998136e-06
0.2894736842105263,2.8333820761120777e-06
0.31052631578947365,2.5501819001132806e-06
0.3315789473684211,2.3112043822829065e-06
0.3526315789473684,2.1073514599567476e-06
0.37368421052631584,1.931797738901933e-06
0.39473684210526316,1.7793331967586124e-06
0.4157894736842105,1.6459193066751942e-06
0.4368421052631579,1.5283824350817132e-06
0.45789473684210524,1.424197757335109e-06
0.4789473684210527,1.3313341983831274e-06
0.5,1.2481413421493633e-06
