Polymer viscosity (Pa.s),Final fiber radius (m)
0.1,9.265799468943942e-07
0.1473684210526316,1.1248253933185624e-06
0.19473684210526315,1.2930251091613412e-06
0.24210526315789474,1.4417335746902543e-06
0.2894736842105263,1.5764762820469515e-06
0.33684210526315794,1.7005761480521886e-06
0.38421052631578945,1.8162161222694451e-06
0.43157894736842106,1.9249214971678454e-06
0.4789473684210527,2.0278078157770134e-06
0.5263157894736842,2.125720185065236e-06
0.5736842105263158,2.219317028425912e-06
0.6210526315789474,2.3091231756077156e-06
0.6684210526315789,2.3955649871368764e-06
0.7157894736842105,2.4789944282034078e-06
0.7631578947368421,2.5597060656510898e-06
0.8105263157894737,2.6379493759354863e-06
0.8578947368421053,2.7139378543853694e-06
0.9052631578947369,2.787855886686631e-06
0.9526315789473684,2.8598640199143636e-06
1.0,2.9301030664241463e-06
