Axial coordinate x (m),Radius (m)
0.06985,0.000479515319177698
0.07987631578947368,0.00044835853281341914
0.08990263157894736,0.00042256804598739814
0.09992894736842105,0.00040076385407399187
0.10995526315789472,0.00038201596667014967
0.11998157894736841,0.00036567196988638727
0.1300078947368421,0.0003512589512844858
0.14003421052631576,0.00033842466833802266
0.15006052631578948,0.0003269006713093169
0.16008684210526314,0.0003164783179370007
0.17011315789473683,0.0003069926742228304
0.18013947368421052,0.0002983114110121447
0.1901657894736842,0.00029032696269762484
0.2001921052631579,0.00028295087317048814
0.21021842105263155,0.00027610964297740095
0.22024473684210524,0.0002697416284360539
0.23027105263157893,0.0002637946917236459
0.24029736842105262,0.00025822439610924836
0.2503236842105263,0.0002529926029483497
0.26034999999999997,0.0002480663688715267
